CountryID,N,Lesbian women,Gay men,Bisexual women,Bisexual men,Transgender,nama,latitude,longitude,baru,income
EU Total,93079,15236,57448,6424,7200,6771,NULL,0,0,93079,
AT,2543,437,1558,164,217,167,austria,47.516232,14.550072,2543,45466
BE,2901,424,1998,132,182,165,belgium,50.503,4.469936,2901,41647
BG,1033,226,474,139,88,106,bulgaria,42.733883,25.48583,1033,17107
CY,265,41,164,18,17,25,cyprus,35.126411,33.429859,265,31962
CZ,2469,565,1432,163,139,170,chezh rep,56.85667,52.94594,2469,28802
DE,20271,2445,13907,590,2000,1329,germany,51.165691,10.451526,20271,44266
DK,1710,393,930,136,108,143,denmark,56.26392,56.26392,1710,43933
EE,374,99,170,61,20,24,estonia,58.595272,25.013607,374,25494
GR,2760,399,1590,219,288,264,greece,39.074207,21.824312,2760,25433
ES,6388,897,4409,354,514,214,spain,40.463669,-3.74922,6388,32076
FI,3439,820,1192,756,190,481,finland,61.92411,25.748152,3439,40340
FR,8375,1302,5720,326,592,435,france,46.227638,2.213749,8375,39251
HU,2267,307,1455,135,236,134,hungary,47.162495,19.503304,2267,23086
IE,1625,423,864,141,58,139,ireland,53.41291,-8.24389,1625,46058
IT,13255,2136,8668,805,996,650,italy,41.871941,12.56738,13255,35051
LT,821,177,439,100,65,40,lithuania,55.169437,23.881275,821,24382
LU,318,51,187,16,26,38,luxembourg,49.815273,6.129583,318,92102
LV,501,150,200,83,22,46,latvia,56.879635,24.603189,501,21302
MT,358,109,173,40,18,18,malta,35.937496,14.375416,358,30682
NL,3175,614,1937,214,159,251,netherlands,52.132633,5.291266,3175,46491
PL,2790,375,1754,264,138,259,poland,51.919437,19.145136,2790,23359
PT,2125,456,1168,268,146,87,portugal,39.399872,-8.224454,2125,26093
RO,1260,139,690,70,214,147,romania,45.943161,24.966761,1260,17859
SE,2464,427,1053,341,269,374,sweden,60.128162,18.643501,2464,44057
SI,636,160,345,64,38,29,slovenia,46.151241,14.995463,636,28448
SK,1000,144,584,96,61,115,slovakia,48.669025,19.699024,1000,26609
GB,6759,1285,3795,572,294,813,great britain, 51.509865,-0.118092,6759,37994
HR,1197,235,592,157,105,108,croatia,44.4737849,16.4688717,1197,20461
